#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   104   0.282178E+04  -0.258055E+02   0.349698E-03  -0.258055E+02   0.831639E+00  -0.103081E-05   0.349698E-03  -0.103081E-05   0.990929E-07
   105   0.285384E+04  -0.264670E+02   0.345795E-03  -0.264670E+02   0.845666E+00  -0.100638E-05   0.345795E-03  -0.100638E-05   0.984815E-07
   106   0.288609E+04  -0.271267E+02   0.341959E-03  -0.271267E+02   0.859478E+00  -0.983198E-06   0.341959E-03  -0.983198E-06   0.978740E-07
   107   0.291853E+04  -0.277842E+02   0.338187E-03  -0.277842E+02   0.873070E+00  -0.961923E-06   0.338187E-03  -0.961923E-06   0.972703E-07
   108   0.295113E+04  -0.284390E+02   0.334473E-03  -0.284390E+02   0.886417E+00  -0.943237E-06   0.334473E-03  -0.943237E-06   0.966705E-07
   109   0.298390E+04  -0.290904E+02   0.330814E-03  -0.290904E+02   0.899513E+00  -0.927814E-06   0.330814E-03  -0.927814E-06   0.960746E-07
   110   0.301684E+04  -0.297380E+02   0.327205E-03  -0.297380E+02   0.912337E+00  -0.916331E-06   0.327205E-03  -0.916331E-06   0.954828E-07
   111   0.304993E+04  -0.303812E+02   0.323643E-03  -0.303812E+02   0.924880E+00  -0.909291E-06   0.323643E-03  -0.909291E-06   0.948951E-07
   112   0.308317E+04  -0.310193E+02   0.320126E-03  -0.310193E+02   0.937135E+00  -0.906518E-06   0.320126E-03  -0.906518E-06   0.943114E-07
   113   0.311656E+04  -0.316519E+02   0.316656E-03  -0.316519E+02   0.949080E+00  -0.907663E-06   0.316656E-03  -0.907663E-06   0.937318E-07
   114   0.315008E+04  -0.322783E+02   0.313232E-03  -0.322783E+02   0.960700E+00  -0.912377E-06   0.313232E-03  -0.912377E-06   0.931563E-07
   115   0.318374E+04  -0.328981E+02   0.309855E-03  -0.328981E+02   0.971994E+00  -0.920311E-06   0.309855E-03  -0.920311E-06   0.925849E-07
   116   0.321752E+04  -0.335106E+02   0.306524E-03  -0.335106E+02   0.982947E+00  -0.931118E-06   0.306524E-03  -0.931118E-06   0.920175E-07
   117   0.325142E+04  -0.341152E+02   0.303240E-03  -0.341152E+02   0.993537E+00  -0.944449E-06   0.303240E-03  -0.944449E-06   0.914542E-07
   118   0.328543E+04  -0.347114E+02   0.300004E-03  -0.347114E+02   0.100376E+01  -0.959955E-06   0.300004E-03  -0.959955E-06   0.908950E-07
   119   0.331954E+04  -0.352987E+02   0.296814E-03  -0.352987E+02   0.101361E+01  -0.977288E-06   0.296814E-03  -0.977288E-06   0.903399E-07
   120   0.335375E+04  -0.358765E+02   0.293673E-03  -0.358765E+02   0.102307E+01  -0.996099E-06   0.293673E-03  -0.996099E-06   0.897889E-07
   121   0.338804E+04  -0.364442E+02   0.290579E-03  -0.364442E+02   0.103213E+01  -0.101604E-05   0.290579E-03  -0.101604E-05   0.892419E-07
   122   0.342241E+04  -0.370013E+02   0.287534E-03  -0.370013E+02   0.104079E+01  -0.103676E-05   0.287534E-03  -0.103676E-05   0.886990E-07
   123   0.345685E+04  -0.375472E+02   0.284536E-03  -0.375472E+02   0.104902E+01  -0.105792E-05   0.284536E-03  -0.105792E-05   0.881602E-07
   124   0.349135E+04  -0.380814E+02   0.281587E-03  -0.380814E+02   0.105683E+01  -0.107916E-05   0.281587E-03  -0.107916E-05   0.876254E-07
   125   0.352590E+04  -0.386033E+02   0.278687E-03  -0.386033E+02   0.106420E+01  -0.110013E-05   0.278687E-03  -0.110013E-05   0.870947E-07
   126   0.356050E+04  -0.391124E+02   0.275835E-03  -0.391124E+02   0.107113E+01  -0.112049E-05   0.275835E-03  -0.112049E-05   0.865681E-07
   127   0.359513E+04  -0.396082E+02   0.273032E-03  -0.396082E+02   0.107760E+01  -0.113990E-05   0.273032E-03  -0.113990E-05   0.860456E-07
   128   0.362978E+04  -0.400901E+02   0.270279E-03  -0.400901E+02   0.108362E+01  -0.115799E-05   0.270279E-03  -0.115799E-05   0.855271E-07
   129   0.366446E+04  -0.405576E+02   0.267575E-03  -0.405576E+02   0.108918E+01  -0.117442E-05   0.267575E-03  -0.117442E-05   0.850127E-07
   130   0.369914E+04  -0.410102E+02   0.264921E-03  -0.410102E+02   0.109425E+01  -0.118885E-05   0.264921E-03  -0.118885E-05   0.845024E-07
   131   0.373381E+04  -0.414473E+02   0.262317E-03  -0.414473E+02   0.109885E+01  -0.120100E-05   0.262317E-03  -0.120100E-05   0.839961E-07
   132   0.376849E+04  -0.418685E+02   0.259761E-03  -0.418685E+02   0.110298E+01  -0.121089E-05   0.259761E-03  -0.121089E-05   0.834939E-07
   133   0.380314E+04  -0.422734E+02   0.257251E-03  -0.422734E+02   0.110661E+01  -0.121863E-05   0.257251E-03  -0.121863E-05   0.829957E-07
   134   0.383777E+04  -0.426612E+02   0.254787E-03  -0.426612E+02   0.110976E+01  -0.122432E-05   0.254787E-03  -0.122432E-05   0.825015E-07
